amino_acid,NH3_frac,source_batch,ratio_snap,X_eq,log10_X_eq,formation_call,n_eq_mol,HCN_mol,C2H2_mol,yield_fraction_HCN,yield_pct_HCN
arginine,0.0274999999999999,B_nh3,2.083333333333333,0.0072173215717722,-2.141623944039221,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0333333333333333,B_nh3,2.083333333333333,0.0071770334928229,-2.144055027055377,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0391666666666666,B_nh3,2.083333333333333,0.007137192704203,-2.1464725771337574,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.045,B_nh3,2.083333333333333,0.0070977917981072,-2.1488767441063925,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0508333333333333,B_nh3,2.083333333333333,0.0070588235294117,-2.151267675330653,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0566666666666666,B_nh3,2.083333333333333,0.0070202808112324,-2.153645515743477,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0624999999999999,B_nh3,2.083333333333333,0.0069821567106283,-2.156010407914084,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0683333333333333,B_nh3,2.083333333333333,0.0069444444444444,-2.1583624920952524,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0741666666666666,B_nh3,2.083333333333333,0.0069071373752877,-2.1607019062732657,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0799999999999999,B_nh3,2.083333333333333,0.0068702290076335,-2.163028786216445,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0858333333333333,B_nh3,2.083333333333333,0.0068337129840546,-2.165343265522463,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0916666666666666,B_nh3,2.083333333333333,0.0067975830815709,-2.1676454756643624,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.0974999999999999,B_nh3,2.083333333333333,0.0067618332081142,-2.16993554603535,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.1033333333333333,B_nh3,2.083333333333333,0.0067264573991031,-2.172213603992482,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.1091666666666666,B_nh3,2.083333333333333,0.0066914498141263,-2.174479774899108,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.1149999999999999,B_nh3,2.083333333333333,0.0066568047337278,-2.176734182166293,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.1208333333333333,B_nh3,2.083333333333333,0.0066225165562913,-2.1789769472931755,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
arginine,0.1266666666666666,B_nh3,2.083333333333333,0.0065885797950219,-2.181208189906193,significant,0.0074999999999999,0.02,0.0416666666666666,0.374999999999995,37.4999999999995
